   1.8856181e+00   0.0000000e+00  -6.6666667e-01
   1.7441967e+00   8.1649658e-02  -6.6666667e-01
   1.7913372e+00   0.0000000e+00  -5.3333333e-01
   1.6027754e+00   1.6329932e-01  -6.6666667e-01
   1.6499158e+00   8.1649658e-02  -5.3333333e-01
   1.6970563e+00   0.0000000e+00  -4.0000000e-01
   1.4613540e+00   2.4494897e-01  -6.6666667e-01
   1.5084945e+00   1.6329932e-01  -5.3333333e-01
   1.5556349e+00   8.1649658e-02  -4.0000000e-01
   1.6027754e+00   0.0000000e+00  -2.6666667e-01
   1.3199327e+00   3.2659863e-01  -6.6666667e-01
   1.5084945e+00   0.0000000e+00  -1.3333333e-01
  -3.7712362e-01   1.3063945e+00  -6.6666667e-01
   3.7712362e-01   0.0000000e+00   1.4666667e+00
  -5.1854497e-01   1.3880442e+00  -6.6666667e-01
   2.8284271e-01   0.0000000e+00   1.6000000e+00
  -6.5996633e-01   1.4696938e+00  -6.6666667e-01
  -6.1282588e-01   1.3880442e+00  -5.3333333e-01
   1.4142136e-01   8.1649658e-02   1.6000000e+00
   1.8856181e-01   0.0000000e+00   1.7333333e+00
  -8.0138769e-01   1.5513435e+00  -6.6666667e-01
  -7.5424723e-01   1.4696938e+00  -5.3333333e-01
  -7.0710678e-01   1.3880442e+00  -4.0000000e-01
   4.4408921e-16   1.6329932e-01   1.6000000e+00
   4.7140452e-02   8.1649658e-02   1.7333333e+00
   9.4280904e-02   0.0000000e+00   1.8666667e+00
  -9.4280904e-01   1.6329932e+00  -6.6666667e-01
  -8.9566859e-01   1.5513435e+00  -5.3333333e-01
  -8.4852814e-01   1.4696938e+00  -4.0000000e-01
  -8.0138769e-01   1.3880442e+00  -2.6666667e-01
  -7.5424723e-01   1.3063945e+00  -1.3333333e-01
  -1.8856181e-01   3.2659863e-01   1.4666667e+00
  -1.4142136e-01   2.4494897e-01   1.6000000e+00
  -9.4280904e-02   1.6329932e-01   1.7333333e+00
  -4.7140452e-02   8.1649658e-02   1.8666667e+00
   0.0000000e+00   0.0000000e+00   2.0000000e+00
  -9.4280904e-01   1.4696938e+00  -6.6666667e-01
  -9.4280904e-01   1.3063945e+00  -6.6666667e-01
  -8.9566859e-01   1.3880442e+00  -5.3333333e-01
  -9.4280904e-01   1.1430952e+00  -6.6666667e-01
  -8.9566859e-01   1.2247449e+00  -5.3333333e-01
  -8.4852814e-01   1.3063945e+00  -4.0000000e-01
  -9.4280904e-01   9.7979590e-01  -6.6666667e-01
  -9.4280904e-01  -9.7979590e-01  -6.6666667e-01
  -9.4280904e-01  -1.1430952e+00  -6.6666667e-01
  -9.4280904e-01  -1.3063945e+00  -6.6666667e-01
  -8.9566859e-01  -1.2247449e+00  -5.3333333e-01
  -1.4142136e-01   8.1649658e-02   1.6000000e+00
  -9.4280904e-01  -1.4696938e+00  -6.6666667e-01
  -8.9566859e-01  -1.3880442e+00  -5.3333333e-01
  -8.4852814e-01  -1.3063945e+00  -4.0000000e-01
  -1.4142136e-01  -8.1649658e-02   1.6000000e+00
  -9.4280904e-02   0.0000000e+00   1.7333333e+00
  -9.4280904e-01  -1.6329932e+00  -6.6666667e-01
  -8.9566859e-01  -1.5513435e+00  -5.3333333e-01
  -8.4852814e-01  -1.4696938e+00  -4.0000000e-01
  -8.0138769e-01  -1.3880442e+00  -2.6666667e-01
  -7.5424723e-01  -1.3063945e+00  -1.3333333e-01
  -1.8856181e-01  -3.2659863e-01   1.4666667e+00
  -1.4142136e-01  -2.4494897e-01   1.6000000e+00
  -9.4280904e-02  -1.6329932e-01   1.7333333e+00
  -4.7140452e-02  -8.1649658e-02   1.8666667e+00
  -8.0138769e-01  -1.5513435e+00  -6.6666667e-01
  -6.5996633e-01  -1.4696938e+00  -6.6666667e-01
  -7.5424723e-01  -1.4696938e+00  -5.3333333e-01
  -5.1854497e-01  -1.3880442e+00  -6.6666667e-01
  -6.1282588e-01  -1.3880442e+00  -5.3333333e-01
  -7.0710678e-01  -1.3880442e+00  -4.0000000e-01
  -3.7712362e-01  -1.3063945e+00  -6.6666667e-01
   1.3199327e+00  -3.2659863e-01  -6.6666667e-01
   1.4613540e+00  -2.4494897e-01  -6.6666667e-01
   1.6027754e+00  -1.6329932e-01  -6.6666667e-01
   1.5084945e+00  -1.6329932e-01  -5.3333333e-01
   4.4408921e-16  -1.6329932e-01   1.6000000e+00
   1.7441967e+00  -8.1649658e-02  -6.6666667e-01
   1.6499158e+00  -8.1649658e-02  -5.3333333e-01
   1.5556349e+00  -8.1649658e-02  -4.0000000e-01
   1.4142136e-01  -8.1649658e-02   1.6000000e+00
   4.7140452e-02  -8.1649658e-02   1.7333333e+00
   1.6027754e+00   0.0000000e+00  -6.6666667e-01
   1.4613540e+00   8.1649658e-02  -6.6666667e-01
   1.4613540e+00  -8.1649658e-02  -6.6666667e-01
  -6.5996633e-01   1.3063945e+00  -6.6666667e-01
  -6.5996633e-01  -1.3063945e+00  -6.6666667e-01
  -8.0138769e-01   1.3880442e+00  -6.6666667e-01
  -8.0138769e-01   1.2247449e+00  -6.6666667e-01
  -8.0138769e-01  -1.2247449e+00  -6.6666667e-01
  -8.0138769e-01  -1.3880442e+00  -6.6666667e-01
   1.5084945e+00   1.3877788e-17  -5.3333333e-01
  -7.5424723e-01   1.3063945e+00  -5.3333333e-01
  -7.5424723e-01  -1.3063945e+00  -5.3333333e-01
   4.4408921e-16   5.5511151e-17   1.6000000e+00
