   2.1999999999999997        2.1682027622602944E-002        8000           1
   2.3999999999999999        2.0788901241913078E-002        6859           1
   2.6000000000000001        1.8933128153207072E-002        5832           1
   2.8000000000000003        1.7168045818692888E-002        4913           1
   3.0000000000000004        1.5510933098963047E-002        4913           1
   3.2000000000000006        1.4045737446252253E-002        4096           1
   3.4000000000000008        1.2749061773286273E-002        4096           1
   3.6000000000000010        1.1607949646739283E-002        3375           1
   3.8000000000000012        1.0591580912609819E-002        3375           1
   4.0000000000000009        9.7153643334019091E-003        3375           1
