   1.0000000000000000        6.7660643176049320E-002        1000           1
   1.2000000000000000        3.7335544201028026E-002        1000           1
   1.3999999999999999        3.3462313219497379E-002         729           1
   1.5999999999999999        3.0943478263833799E-002         512           1
   1.7999999999999998        2.8465837745939394E-002         512           1
   1.9999999999999998        2.6130575130870276E-002         343           1
   2.1999999999999997        2.3909123950731057E-002         343           1
   2.3999999999999999        2.2034378354096450E-002         343           1
   2.6000000000000001        2.0270296347233121E-002         216           1
   2.8000000000000003        1.8563814192857474E-002         216           1
   3.0000000000000004        1.7117044804078808E-002         216           1
   3.2000000000000006        1.5875635078263280E-002         216           1
   3.4000000000000008        1.4799273630287425E-002         216           1
   3.6000000000000010        1.3662289548434610E-002         125           1
   3.8000000000000012        1.2638882860872615E-002         125           1
   4.0000000000000009        1.1746729029643039E-002         125           1
