  0.20000000000000001        8.2753833484425637E-002       35712           5
  0.40000000000000002       0.16216790561898992            35781           5
  0.60000000000000009       0.20791529840300049            36583           5
  0.80000000000000004       0.22814139058536634            36664           5
   1.0000000000000000       0.21838649172029068            37574           5
   1.2000000000000000       0.20254644436121039            37667           5
   1.3999999999999999       0.10441343492683530            38691           5
   1.5999999999999999       -2.9995918364645893E-017       38796           5
   1.7999999999999998        8.6112076206114524E-002       39940           5
   1.9999999999999998        4.0424969570962074E-003       40000           5
   2.1999999999999997        1.3705484811972519E-002        8000           1
   2.3999999999999999        1.3115719467823530E-002        6859           1
   2.6000000000000001        1.1940354245713882E-002        5832           1
   2.8000000000000003        1.0830232580257632E-002        4913           1
   3.0000000000000004        9.7798884126246433E-003        4913           1
   3.2000000000000006        8.8415672345131882E-003        4096           1
   3.4000000000000008        8.0047925561963201E-003        4096           1
   3.6000000000000010        7.2625947613028383E-003        3375           1
   3.8000000000000012        6.5960109652066267E-003        3375           1
   4.0000000000000009        6.0230980355426636E-003        3375           1
